City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Kuching,MY,2022-09-18 22:24:07,1.55,110.3333,73.62,100,40,2.3
210,Mehamn,NO,2022-09-18 22:24:07,71.0357,27.8492,46.31,92,100,18.01
211,Kaitangata,NZ,2022-09-18 22:24:08,-46.2817,169.8464,52.12,61,100,2.13
212,Jumla,NP,2022-09-18 22:24:08,29.2747,82.1838,60.48,93,98,0.16
213,Iqaluit,CA,2022-09-18 22:24:09,63.7506,-68.5145,44.33,65,20,15.01
214,Satipo,PE,2022-09-18 22:24:09,-11.2522,-74.6386,83.35,55,97,0.83
215,General Roca,AR,2022-09-18 22:24:10,-39.0333,-67.5833,45.63,55,100,15.93
216,Lidkoping,SE,2022-09-18 22:24:10,58.5052,13.1577,54.41,82,47,13.98
217,Yerofey Pavlovich,RU,2022-09-18 22:24:10,53.9667,121.9667,29.93,56,3,10.27
218,Isla Aguada,MX,2022-09-18 22:24:11,18.7833,-91.4667,86.04,76,11,13.13
219,Ipora,BR,2022-09-18 22:24:11,-16.4419,-51.1178,84.16,33,68,2.42
220,Tessalit,ML,2022-09-18 22:24:12,20.1986,1.0114,94.03,25,73,9.69
221,Northam,GB,2022-09-18 22:24:12,51.0333,-4.2167,51.62,84,27,6.49
222,Luanda,AO,2022-09-18 22:22:58,-8.8368,13.2343,71.38,90,58,10.83
223,Barmer,IN,2022-09-18 22:24:13,25.75,71.3833,81.82,59,0,10.89
224,Arraial Do Cabo,BR,2022-09-18 22:20:11,-22.9661,-42.0278,66.06,72,20,3.44
225,Sept-Iles,CA,2022-09-18 22:23:02,50.2001,-66.3821,56.05,50,40,8.05
226,Praia Da Vitoria,PT,2022-09-18 22:24:14,38.7333,-27.0667,73.76,94,20,7.52
227,Solnechnyy,RU,2022-09-18 22:24:14,50.7214,136.6319,49.55,86,22,9.73
228,Risod,IN,2022-09-18 22:24:15,19.9667,76.7833,71.4,94,100,7.96
229,Imbituba,BR,2022-09-18 22:24:15,-28.24,-48.6703,61.79,78,7,12.01
230,Nishihara,JP,2022-09-18 22:24:16,26.1842,127.7558,80.26,83,75,18.41
231,Sao Filipe,CV,2022-09-18 22:24:16,14.8961,-24.4956,78.44,75,15,8.16
232,Slonim,BY,2022-09-18 22:24:17,53.0867,25.3219,47.62,93,100,7.96
233,Saint-Augustin,CA,2022-09-18 22:24:17,51.226,-58.6502,45.73,67,100,18.97
234,Stolin,BY,2022-09-18 22:24:17,51.8912,26.846,49.21,94,100,13.4
235,Bonthe,SL,2022-09-18 22:24:18,7.5264,-12.505,75.06,89,100,6.49
236,Bitung,ID,2022-09-18 22:25:19,1.4451,125.1824,72.45,85,89,4.65
237,Pasighat,IN,2022-09-18 22:25:19,28.0667,95.3333,76.5,92,36,2.64
238,Bam,IR,2022-09-18 22:25:20,29.106,58.357,82.27,23,90,4.21
239,Bekwai,GH,2022-09-18 22:25:20,6.4534,-1.5774,70.0,98,94,3.18
240,Caruaru,BR,2022-09-18 22:25:21,-8.2833,-35.9761,66.2,95,19,11.92
241,Ilulissat,GL,2022-09-18 22:25:21,69.2167,-51.1,39.22,100,75,0.0
242,Yonago,JP,2022-09-18 22:25:22,35.4333,133.3333,84.13,74,75,23.02
243,Katherine,AU,2022-09-18 22:25:22,-14.4667,132.2667,82.72,57,13,5.75
244,Khonsa,IN,2022-09-18 22:25:23,27.0167,95.5667,67.71,97,20,4.45
245,Tucuman,AR,2022-09-18 22:25:23,-26.8241,-65.2226,80.6,24,75,8.05
246,Ishinomaki,JP,2022-09-18 22:25:24,38.4167,141.3,77.0,93,95,22.39
247,Sorland,NO,2022-09-18 22:25:24,67.667,12.6934,48.06,79,100,30.85
248,Henties Bay,NA,2022-09-18 22:25:25,-22.116,14.2845,54.61,85,18,17.07
249,Roald,NO,2022-09-18 22:25:25,62.5833,6.1333,51.75,71,75,12.66
250,Corner Brook,CA,2022-09-18 22:22:32,48.9667,-57.9484,50.16,74,100,14.32
251,Skjervoy,NO,2022-09-18 22:25:26,70.0311,20.9714,46.4,83,97,12.08
252,Itatskiy,RU,2022-09-18 22:22:07,56.07,89.0369,39.61,82,61,4.85
253,Guarapari,BR,2022-09-18 22:25:26,-20.6667,-40.4975,67.89,71,11,5.97
254,Sao Miguel Do Araguaia,BR,2022-09-18 22:25:27,-13.275,-50.1628,84.09,49,98,8.79
255,Daru,PG,2022-09-18 22:25:27,-9.0763,143.2092,80.91,85,90,11.14
256,Paveh,IR,2022-09-18 22:25:27,35.0434,46.3565,69.24,21,65,2.89
257,Tiksi,RU,2022-09-18 22:25:28,71.6872,128.8694,32.67,68,98,4.41
258,Lagoa,PT,2022-09-18 22:25:29,39.05,-27.9833,73.18,89,100,9.44
259,Georgetown,MY,2022-09-18 22:24:48,5.4112,100.3354,78.89,90,20,2.3
260,Severo-Kurilsk,RU,2022-09-18 22:25:29,50.6789,156.125,52.05,94,88,17.4
261,Hay River,CA,2022-09-18 22:30:41,60.8156,-115.7999,58.98,63,75,9.22
262,Prince Rupert,CA,2022-09-18 22:30:42,54.3161,-130.3201,59.09,83,0,18.41
263,San Cristobal,VE,2022-09-18 22:30:42,7.7669,-72.225,80.78,93,18,3.31
264,Ixtapa,MX,2022-09-18 22:30:43,20.7,-105.2,85.23,74,100,8.05
265,Huanren,CN,2022-09-18 22:30:43,41.2647,125.3667,51.31,71,0,5.59
266,Nanortalik,GL,2022-09-18 22:30:43,60.1432,-45.2371,45.39,80,92,6.62
267,Kitami,JP,2022-09-18 22:30:44,43.8031,143.8908,68.13,90,100,5.06
268,Sobolevo,RU,2022-09-18 22:30:44,54.4299,31.8996,50.97,99,100,4.85
269,Batagay-Alyta,RU,2022-09-18 22:30:45,67.8006,130.4114,27.72,52,16,3.78
270,Tanete,ID,2022-09-18 22:30:45,-3.9443,119.7848,77.09,86,100,4.97
271,Dumai,ID,2022-09-18 22:30:46,1.6833,101.45,72.64,96,100,1.43
272,Palmer,US,2022-09-18 22:28:45,42.1584,-72.3287,80.24,63,75,10.36
273,Lluta,PE,2022-09-18 22:30:46,-16.0147,-72.0142,49.39,49,34,4.21
274,Hami,CN,2022-09-18 22:30:47,42.8,93.45,64.38,19,13,4.76
275,Bathsheba,BB,2022-09-18 22:30:47,13.2167,-59.5167,83.01,78,40,12.66
276,Vao,NC,2022-09-18 22:30:48,-22.6667,167.4833,73.38,73,100,11.88
277,Wucheng,CN,2022-09-18 22:30:48,29.6008,118.175,70.05,90,2,2.51
278,Dunedin,NZ,2022-09-18 22:30:48,-45.8742,170.5036,55.8,72,100,1.01
279,Koslan,RU,2022-09-18 22:30:49,63.4564,48.8989,44.29,96,12,4.36
280,Orange,US,2022-09-18 22:31:49,33.7,-117.7675,86.52,59,40,11.5
281,Haines Junction,CA,2022-09-18 22:31:50,60.7522,-137.5108,58.95,44,75,3.44
282,Rio Gallegos,AR,2022-09-18 22:31:24,-51.6226,-69.2181,44.65,57,0,13.8
283,Saint-Paul,RE,2022-09-18 22:31:50,-21.0096,55.2707,71.71,76,23,4.36
284,Rabo De Peixe,PT,2022-09-18 22:31:51,37.8,-25.5833,71.11,83,20,6.91
285,Yar-Sale,RU,2022-09-18 22:31:51,66.8333,70.8333,45.5,95,100,11.9
286,Balsas,BR,2022-09-18 22:31:51,-7.5325,-46.0356,87.04,23,26,4.63
287,Lida,BY,2022-09-18 22:31:52,53.8833,25.2997,47.64,92,100,8.32
288,Xixiang,CN,2022-09-18 22:31:52,35.1628,112.865,71.31,66,70,2.08
289,Meulaboh,ID,2022-09-18 22:31:53,4.1363,96.1285,74.35,85,91,2.55
290,Leningradskiy,RU,2022-09-18 22:29:15,69.3833,178.4167,33.49,98,100,20.92
291,Victoria,HK,2022-09-18 22:30:47,22.2855,114.1577,82.33,84,58,11.99
292,Waipawa,NZ,2022-09-18 22:31:54,-41.4122,175.5153,55.67,66,100,9.82
